review_id,customer_id,branch_id,review,date_submitted
1,250,13,"Odio ducimus expedita doloremque. Quas nisi occaecati quasi quis dolor ad.
Provident error ullam repellendus provident. Ad dolorem error blanditiis neque odit explicabo. Cum ut amet.",2023-12-14
2,416,17,"Et repudiandae deleniti doloribus molestiae alias.
Esse odio debitis. Suscipit animi saepe magni illum tenetur.
Libero eius sapiente soluta at. Expedita voluptate necessitatibus ab.",2023-12-30
3,72,4,"Quibusdam exercitationem est accusamus. Delectus unde maiores rem est. Ad sed nobis vitae vero accusantium.
Corporis nisi dicta doloremque veritatis officiis.
Quae voluptates odit exercitationem.",2024-05-26
4,37,3,Nam deleniti quibusdam a. Odit dolorem dolorem cum cum. Animi magnam aliquid quae est nulla esse. Nesciunt animi modi inventore expedita.,2024-07-27
5,116,11,Odio officiis omnis consequatur aperiam aliquid sit ab. Vitae modi ea beatae eos. Laborum quibusdam eius culpa voluptatem recusandae.,2025-03-07
6,148,16,Quibusdam laboriosam nihil aperiam sint et inventore. Eum perspiciatis libero vel. Alias unde non veniam modi cumque exercitationem consectetur.,2024-02-02
7,200,13,"Facilis aliquam voluptas eveniet mollitia dolorem corrupti. Vitae maiores numquam hic velit aspernatur saepe vero.
Dolore quos inventore enim. Molestias ratione dicta in aliquid.",2023-09-27
8,5,6,Iusto sunt illum itaque nostrum in quod.,2023-06-03
9,489,7,Unde sint unde veniam magnam corrupti suscipit. Expedita ex vero soluta optio. Soluta unde sunt quis culpa vel repellat.,2023-10-20
10,472,14,"Nostrum perferendis rem repellendus. Blanditiis provident recusandae enim. Ipsam a cum consectetur error voluptate.
Numquam magni quis dolores labore numquam veniam.",2023-11-21
11,51,6,Fugit delectus commodi. Neque tempore laboriosam porro aliquam facilis illo consequuntur. Aut vitae explicabo id.,2024-03-30
12,422,15,Blanditiis laborum dolorem cupiditate. Fuga natus delectus ipsa inventore asperiores. Vel esse pariatur labore odit error et.,2024-08-16
13,467,16,"Maxime dolor a provident. Aut nemo ex ad distinctio.
Tempora alias dolore possimus praesentium. Et eum incidunt ipsam.
Quam recusandae ullam id. Ut eaque labore.",2023-06-20
14,464,17,Praesentium qui doloremque suscipit ipsam alias possimus. Ea esse maiores architecto commodi maxime dicta.,2024-03-03
15,297,18,Eos laborum officiis quidem reprehenderit sed. Suscipit ducimus mollitia eius. In magnam officia deserunt consequuntur quam enim. Alias consequuntur consequuntur quis.,2023-07-09
16,425,15,"Voluptates alias officia vero. Rem voluptate odio velit modi optio quasi veritatis. Cum eius odio nesciunt sit error.
Amet impedit dolores consectetur.",2024-10-29
17,342,3,"Temporibus sed consectetur reprehenderit eaque doloremque voluptatem. Eaque minima expedita vel vitae exercitationem exercitationem.
Sapiente voluptate omnis dolorem. Qui commodi necessitatibus.",2024-08-22
18,422,13,"Aperiam dicta earum libero tempore laudantium dolorum. Magni incidunt repudiandae doloribus quidem.
Inventore ratione blanditiis exercitationem aliquid. Labore ab officiis.",2023-04-17
19,199,3,"Dolorum libero ipsum rem ipsa numquam. Perferendis repellendus cum fugiat sunt accusamus. Temporibus nostrum sed labore minima eaque.
Voluptates totam voluptas est veritatis neque.",2023-06-30
20,100,14,Nulla autem ipsam nemo. Eveniet accusamus pariatur. Consectetur fugit porro veritatis soluta.,2023-06-20
21,112,18,Necessitatibus voluptatibus praesentium eaque quaerat. Quia quas tempore nisi soluta. Deserunt modi reiciendis tempora.,2024-02-04
22,242,3,Ullam earum doloremque tempora similique. Ipsum omnis esse reiciendis architecto. Expedita quasi ducimus facere.,2025-01-22
23,47,12,"Pariatur error voluptas reiciendis consequuntur a.
Quos cum nihil excepturi distinctio. Nisi est ea alias corrupti. Exercitationem excepturi temporibus quae quis iure ad.",2025-01-06
24,255,10,"Odio itaque assumenda est debitis. Praesentium dignissimos voluptatem nemo praesentium.
Veniam aut quae nesciunt numquam. Consequatur repellat occaecati. Quia maiores dolor neque mollitia.",2024-04-04
25,187,6,Odit minus error exercitationem minima quas. Delectus odio dicta magni.,2023-04-11
26,184,17,"Iste est possimus aliquam ut. Dolorum voluptatibus ab harum facilis.
Pariatur qui necessitatibus molestiae rerum. At optio fugiat perferendis aliquid.",2023-11-29
27,486,17,Corporis sit asperiores sit illum nostrum. Corporis maiores ad iste totam facere doloribus.,2024-05-26
28,368,12,"Ullam culpa natus autem dolores. Consequuntur soluta unde occaecati. Cumque iure quam reiciendis perferendis tenetur necessitatibus.
Aspernatur maiores accusamus saepe delectus.
Quam fuga incidunt.",2025-01-28
29,39,5,Esse nobis at tempora esse impedit amet. Iure quae quibusdam cum dolorem eius quas. Minima laudantium soluta aspernatur fugit amet esse.,2025-02-19
30,475,11,"Officia corporis fugiat.
Exercitationem ratione incidunt recusandae repellat. Corrupti odio at eum odit occaecati natus voluptatum. Quas in doloremque in recusandae.",2024-03-05
31,172,3,Tempora quod optio deleniti illum dolore. Fuga accusamus voluptas excepturi soluta atque nam. Cumque doloribus sint a sequi impedit perspiciatis.,2024-11-08
32,16,16,"Nostrum pariatur assumenda numquam. Quasi debitis exercitationem dicta optio cum. Unde a deleniti amet.
Voluptatem eos culpa doloribus. Quidem consectetur incidunt. Recusandae tempora labore.",2024-05-17
33,422,16,"Iusto quod doloremque cumque vero qui. Maiores amet accusantium. Nostrum quae provident voluptas ut harum.
Tempore sint amet minus adipisci. Placeat occaecati voluptates suscipit est.",2024-05-25
34,62,7,Laboriosam ullam illo. Voluptatum ducimus repudiandae nobis molestiae. Dicta accusantium reprehenderit rem molestiae. Dignissimos quis non illo.,2023-08-23
35,248,7,Mollitia esse vero necessitatibus facere sit. Minima odit asperiores. Doloremque consectetur dicta cupiditate quae porro saepe.,2025-02-12
36,237,5,"Nam quos commodi id. Nesciunt sapiente illo necessitatibus autem voluptatem iure.
Explicabo quos aut nostrum. Labore ad totam distinctio sequi harum sequi.",2024-10-23
37,149,19,"Consectetur magni fugit deserunt sunt.
Inventore nesciunt est molestiae. Maxime id aut dolores consequuntur cupiditate itaque molestias.",2023-05-29
38,470,19,Maxime beatae tempora asperiores. Repudiandae incidunt consequatur nihil excepturi.,2024-04-22
39,96,17,"Ullam blanditiis dignissimos tempore provident reiciendis. Voluptas placeat neque ad vero.
Ab nihil necessitatibus cumque itaque error. Consequuntur quos odio sapiente.",2023-11-18
40,50,7,Magni in ex error soluta voluptates. Atque sed magnam illum a. Voluptas ea autem exercitationem ipsa deleniti necessitatibus.,2024-12-20
41,170,20,"Praesentium aperiam numquam id mollitia vero.
Ipsum error dolorem earum alias debitis blanditiis. Iure quidem perferendis.",2024-08-13
42,133,12,Cum ratione possimus blanditiis. Porro repellat distinctio ipsa cumque rem. Quasi earum possimus debitis a quo.,2024-07-08
43,105,2,"Sunt rem repudiandae inventore consequatur velit. Enim omnis quod molestias velit occaecati amet.
Quos atque magni repellat eveniet earum dolorum. Impedit facere non quasi esse minima quidem quam.",2024-04-06
44,97,3,Recusandae fuga magni quos possimus voluptas. Vel dicta facere minus voluptates nemo. Animi porro recusandae ratione.,2024-02-12
45,485,11,Aliquam dolorem deserunt quasi impedit in. Mollitia in enim dolorum.,2024-06-03
46,498,3,Unde aperiam nemo earum aperiam recusandae maxime. Quidem magnam maxime atque fugit eos distinctio.,2024-09-23
47,481,8,"Nulla blanditiis molestiae voluptatibus a ab.
Nulla optio ab autem corporis.",2023-10-27
48,48,19,"Sint perspiciatis vel officiis distinctio. Qui corporis magni.
Repellat tempore voluptatem ipsum ipsum dolorem id. Minus molestias culpa magnam. Nisi itaque officiis quos officiis accusamus.",2023-08-05
49,179,3,"Sit odit vitae dolore quaerat perferendis recusandae natus. Voluptate at nesciunt itaque fugit.
Optio inventore quos. Ad deleniti eius laborum. Nam magnam magni saepe quod temporibus.",2024-04-18
