TransactionID,AccountID,TransactionType,Amount,Date,EmployeeID
1,785,Withdrawal,60419.86,2024-11-15 01:03:21,370
2,982,Deposit,49588.96,2021-12-12 06:46:53,416
3,480,Withdrawal,77974.81,2021-05-08 09:59:40,151
4,749,Deposit,176583.48,2022-08-23 23:29:17,485
5,314,Withdrawal,159995.5,2022-03-23 04:07:27,265
6,681,Deposit,124261.58,2021-10-09 01:23:10,23
7,724,Withdrawal,57542.87,2023-10-14 03:33:52,405
8,496,Deposit,40623.34,2021-06-04 13:21:32,333
9,62,Deposit,69935.81,2024-09-04 14:52:54,101
10,643,Deposit,1611.44,2022-10-05 22:38:43,348
11,715,Withdrawal,114953.61,2023-07-21 19:01:58,402
12,860,Deposit,76090.42,2023-01-02 15:09:45,298
13,309,Withdrawal,66719.97,2020-07-04 01:33:49,1
14,794,Withdrawal,13708.99,2024-03-20 09:14:34,27
15,513,Deposit,119162.67,2020-09-08 05:00:27,9
16,564,Withdrawal,160403.01,2020-12-06 21:33:15,241
17,599,Deposit,23137.35,2022-10-04 19:04:48,394
18,91,Withdrawal,172800.2,2022-06-06 19:36:13,401
19,352,Withdrawal,56207.68,2023-09-29 18:08:08,55
20,498,Deposit,188855.09,2024-04-02 10:44:12,132
21,872,Withdrawal,142557.86,2021-06-11 03:32:31,8
22,531,Withdrawal,106551.14,2020-10-31 01:00:35,17
23,870,Deposit,100948.09,2021-01-04 12:20:29,20
24,97,Deposit,37485.58,2022-01-17 05:36:12,415
25,229,Withdrawal,119518.0,2020-08-20 10:00:40,352
26,609,Deposit,79570.59,2021-09-16 09:25:37,377
27,986,Withdrawal,80838.41,2021-12-22 07:03:46,179
28,259,Withdrawal,147497.27,2022-07-07 06:12:03,118
29,237,Deposit,25543.31,2024-04-15 12:04:40,338
30,500,Deposit,179967.08,2022-06-28 18:12:36,275
31,963,Withdrawal,91075.57,2022-03-16 15:14:03,428
32,224,Withdrawal,150749.22,2021-03-14 12:53:54,214
33,661,Deposit,150818.05,2024-09-09 22:50:34,462
34,419,Withdrawal,180676.98,2023-09-19 15:30:03,250
35,180,Deposit,137426.19,2025-02-19 07:32:45,356
36,466,Withdrawal,45827.6,2021-12-27 18:09:59,428
37,78,Withdrawal,70172.0,2023-07-09 02:59:18,4
38,899,Withdrawal,174697.31,2021-09-10 07:17:38,372
39,152,Withdrawal,190897.96,2025-01-16 03:03:04,219
40,572,Withdrawal,20556.68,2025-02-20 10:26:47,397
41,43,Withdrawal,175793.03,2020-07-07 07:04:25,421
42,266,Deposit,65309.25,2022-06-13 10:30:46,176
43,446,Withdrawal,136213.25,2021-02-28 19:20:48,384
44,911,Withdrawal,50947.46,2024-07-19 05:21:48,218
45,835,Deposit,156544.26,2021-06-11 08:48:53,179
46,501,Withdrawal,6226.2,2022-02-20 02:09:18,413
47,387,Withdrawal,1448.29,2024-01-23 10:40:54,336
48,605,Withdrawal,194965.89,2024-08-13 09:25:35,34
49,317,Deposit,172345.65,2023-07-15 22:35:34,230
50,517,Withdrawal,194696.46,2022-07-23 09:32:00,396
51,561,Deposit,122088.12,2023-11-08 18:07:24,136
52,669,Deposit,23379.12,2022-08-16 17:40:18,399
53,771,Deposit,151821.76,2020-07-22 14:03:05,10
54,450,Deposit,163166.48,2021-09-02 07:04:03,131
55,733,Withdrawal,166630.28,2022-07-21 14:57:24,368
56,376,Deposit,124984.69,2021-06-27 16:44:53,237
57,155,Deposit,37587.19,2023-07-03 14:38:52,30
58,121,Withdrawal,94953.7,2022-05-14 09:57:24,5
59,122,Deposit,27277.91,2022-03-28 08:34:14,136
60,194,Deposit,105889.8,2022-08-06 03:42:39,171
61,834,Withdrawal,169480.24,2022-01-29 09:14:07,16
62,322,Withdrawal,103564.06,2020-11-26 22:18:20,184
63,824,Deposit,55733.87,2023-02-08 18:35:10,323
64,669,Withdrawal,176355.8,2020-06-20 00:22:00,242
65,233,Deposit,29783.95,2021-04-10 14:47:44,466
66,765,Withdrawal,189638.66,2023-04-26 14:24:37,261
67,537,Withdrawal,156040.51,2020-08-10 14:57:40,390
68,140,Deposit,192956.11,2023-09-30 06:08:56,203
69,672,Withdrawal,164223.92,2024-09-24 04:40:51,105
70,595,Withdrawal,103918.24,2022-02-22 09:47:44,477
71,948,Withdrawal,164779.51,2022-12-15 07:10:59,356
72,447,Withdrawal,190914.56,2021-10-28 19:50:27,427
73,328,Withdrawal,143935.11,2024-04-11 20:27:11,377
74,226,Deposit,195118.11,2021-08-08 04:56:13,359
75,400,Withdrawal,26328.89,2024-08-01 11:26:53,168
76,973,Withdrawal,127747.29,2021-06-17 08:14:29,291
77,521,Withdrawal,97144.15,2023-07-21 23:34:27,71
78,429,Deposit,113741.45,2022-10-22 08:09:40,283
79,660,Withdrawal,191039.32,2021-12-14 04:14:29,138
80,347,Withdrawal,78752.19,2023-06-01 13:45:20,31
81,133,Deposit,79146.17,2022-04-23 21:37:18,475
82,135,Withdrawal,95185.78,2023-08-10 06:34:43,41
83,378,Deposit,18761.38,2022-10-05 01:27:10,62
84,438,Deposit,1363.19,2023-02-04 08:27:59,386
85,387,Deposit,64781.58,2023-02-12 17:28:18,354
86,94,Deposit,178921.03,2022-07-03 04:10:42,487
87,197,Deposit,143221.65,2022-05-23 05:52:01,367
88,699,Withdrawal,45255.03,2021-09-14 02:54:45,403
89,461,Deposit,107643.26,2023-01-07 15:19:10,451
90,596,Deposit,179871.9,2023-10-04 08:53:20,403
91,975,Deposit,198092.36,2025-02-04 03:09:36,157
92,50,Deposit,150482.32,2020-09-03 09:46:48,47
93,805,Withdrawal,64196.38,2024-01-24 13:47:27,460
94,234,Deposit,111310.89,2022-05-10 08:40:27,189
95,612,Deposit,113890.88,2022-10-29 12:15:11,376
96,171,Deposit,119506.35,2024-06-04 04:06:38,18
97,929,Deposit,147247.94,2024-07-29 23:15:52,208
98,140,Withdrawal,50415.43,2024-01-11 02:30:03,301
99,626,Withdrawal,117917.2,2022-12-14 03:36:46,496
100,535,Withdrawal,151120.26,2023-12-11 17:46:33,448
101,101,Withdrawal,164431.86,2020-05-17 08:52:25,274
102,210,Deposit,181536.26,2020-06-04 02:40:04,213
103,245,Deposit,143366.32,2024-08-24 17:29:03,346
104,116,Withdrawal,103903.22,2024-05-13 05:57:11,265
105,718,Withdrawal,182812.87,2023-08-22 08:02:46,33
106,387,Withdrawal,153726.18,2020-07-18 18:26:12,99
107,774,Deposit,9410.47,2021-07-24 10:35:48,199
108,926,Withdrawal,67327.19,2022-07-26 05:17:05,38
109,745,Deposit,189339.22,2024-10-18 05:47:11,161
110,417,Withdrawal,4280.31,2021-08-18 06:52:01,321
111,45,Deposit,55726.62,2024-06-19 06:14:50,63
112,993,Deposit,78271.13,2021-11-05 19:20:43,212
113,782,Withdrawal,158941.45,2020-12-31 01:17:13,111
114,749,Deposit,155451.36,2024-07-22 02:34:02,460
115,998,Withdrawal,86186.63,2023-11-18 00:18:15,498
116,574,Withdrawal,168529.65,2020-10-18 22:24:42,88
117,339,Withdrawal,129925.49,2023-05-03 19:45:08,367
118,189,Deposit,30375.8,2024-12-23 10:28:42,69
119,542,Withdrawal,29988.05,2020-12-27 19:33:56,232
120,252,Withdrawal,118356.14,2021-07-22 18:07:12,459
121,113,Deposit,119244.45,2020-08-01 03:27:47,179
122,641,Deposit,34116.27,2023-12-25 18:07:15,474
123,777,Deposit,82612.02,2024-04-29 07:52:32,395
124,870,Deposit,68911.92,2022-11-01 17:59:44,474
125,823,Deposit,148853.16,2023-08-05 05:40:47,74
126,304,Deposit,127370.12,2023-06-29 22:36:26,87
127,639,Deposit,56429.82,2023-02-08 15:56:43,401
128,488,Deposit,149835.22,2024-12-09 03:37:43,101
129,733,Withdrawal,187967.07,2024-04-17 09:52:50,134
130,368,Withdrawal,40528.8,2022-03-24 07:10:23,301
131,209,Withdrawal,53570.93,2020-06-30 05:48:54,13
132,864,Withdrawal,101866.04,2024-06-21 21:55:31,4
133,940,Withdrawal,134055.34,2023-11-29 05:39:37,371
134,607,Deposit,167140.28,2021-10-01 05:05:46,453
135,820,Deposit,70973.99,2020-08-10 18:29:17,313
136,512,Deposit,18791.06,2022-01-08 22:06:20,9
137,786,Withdrawal,88647.68,2023-12-24 18:57:16,320
138,167,Withdrawal,179022.24,2022-04-07 04:38:58,380
139,962,Deposit,141441.56,2023-02-20 05:47:28,374
140,350,Deposit,195505.22,2023-04-15 22:53:53,391
141,525,Deposit,174746.85,2021-05-03 02:30:49,477
142,32,Deposit,96173.42,2023-12-24 23:13:04,28
143,138,Withdrawal,150814.09,2024-05-15 23:41:58,232
144,19,Deposit,134641.73,2022-10-13 04:56:52,289
145,941,Deposit,12026.98,2022-11-03 17:05:52,386
146,946,Deposit,61680.6,2024-09-13 04:10:01,317
147,312,Withdrawal,84757.84,2021-04-20 08:07:36,118
148,354,Deposit,97260.29,2021-03-01 21:40:57,361
149,996,Deposit,95009.83,2023-10-28 06:30:49,35
150,326,Withdrawal,142201.85,2021-06-22 07:53:41,451
151,240,Withdrawal,50878.2,2021-11-03 06:50:23,368
152,667,Withdrawal,129544.7,2025-02-11 01:50:35,436
153,501,Deposit,46277.83,2021-06-20 21:27:09,487
154,195,Withdrawal,176300.78,2020-12-07 23:07:56,314
155,575,Withdrawal,146085.19,2023-08-03 04:26:14,441
156,773,Deposit,197760.67,2022-01-29 20:29:23,324
157,591,Withdrawal,192840.05,2022-03-15 09:41:24,427
158,89,Withdrawal,56472.83,2024-04-22 12:42:28,361
159,820,Deposit,175345.87,2023-04-29 02:12:02,371
160,307,Withdrawal,146553.82,2021-06-17 14:29:19,126
161,211,Deposit,189435.71,2022-03-08 21:06:27,96
162,912,Withdrawal,35615.52,2020-11-21 17:15:47,302
163,657,Deposit,34707.47,2024-12-21 19:38:18,415
164,869,Withdrawal,50137.25,2021-05-31 00:52:21,99
165,85,Withdrawal,155625.5,2024-07-25 03:40:33,481
166,257,Withdrawal,63656.64,2022-01-12 13:18:21,382
167,896,Withdrawal,187883.23,2024-05-13 14:45:30,430
168,311,Deposit,67175.39,2021-01-06 11:46:34,190
169,554,Withdrawal,92959.78,2024-10-21 18:37:06,414
170,256,Withdrawal,67386.24,2025-01-06 13:40:45,12
171,332,Withdrawal,7746.66,2023-02-07 23:32:29,451
172,517,Deposit,130161.1,2021-03-19 20:33:26,422
173,903,Withdrawal,3486.69,2024-10-01 23:14:22,323
174,270,Deposit,37308.46,2022-07-26 07:08:13,260
175,22,Deposit,107296.87,2023-09-15 07:09:22,37
176,826,Withdrawal,62353.76,2025-01-20 09:26:47,414
177,725,Deposit,112246.49,2023-09-04 01:47:43,273
178,670,Withdrawal,24254.41,2021-08-05 09:21:12,245
179,523,Withdrawal,153403.92,2023-03-11 17:13:04,220
180,994,Deposit,94297.93,2021-01-14 09:20:37,290
181,654,Deposit,40683.98,2021-11-08 23:55:13,384
182,868,Withdrawal,16768.36,2020-12-21 16:48:58,211
183,29,Withdrawal,114316.42,2023-02-12 04:29:59,115
184,757,Deposit,92530.13,2022-03-19 20:54:10,219
185,366,Withdrawal,141043.95,2024-12-07 00:32:22,275
186,169,Withdrawal,198852.34,2021-10-23 07:54:37,451
187,826,Deposit,32256.45,2022-09-22 09:23:37,291
188,660,Deposit,37568.75,2023-10-15 23:25:22,283
189,928,Deposit,16205.29,2022-08-12 17:06:08,35
190,405,Deposit,89357.45,2022-06-06 08:27:04,344
191,369,Withdrawal,49348.72,2020-09-18 03:48:27,478
192,293,Withdrawal,191386.55,2024-08-19 18:35:50,21
193,39,Withdrawal,162438.63,2021-06-21 14:52:24,330
194,136,Deposit,125436.96,2021-05-20 14:27:47,371
195,742,Withdrawal,169403.86,2022-11-05 06:28:17,224
196,863,Withdrawal,16588.3,2024-09-21 16:06:05,267
